rally,avg_rally_length,epsilon,left_states,right_states
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
3000,0.57,0.5488,5403,5297
